,REAL_LumpSum_SGOV_2020,REAL_40_6_DCA_SGOV_2020,PROXY_LumpSum_BIL_2015,PROXY_40_6_DCA_BIL_2015
2015-01-02,,,50000.0,50000.0
2015-01-05,,,49148.30467107675,49659.32186843071
2015-01-06,,,48706.688651861456,49482.675460744584
2015-01-07,,,49294.26021765943,49717.70408706377
2015-01-08,,,50083.42260787152,50033.36904314861
2015-01-09,,,49744.51876744722,49897.80750697889
2015-01-12,,,49461.81716447604,49784.72686579042
2015-01-13,,,49472.46998494961,49788.98799397984
2015-01-14,,,49254.75147156041,49701.900588624165
2015-01-15,,,49008.426505716576,49603.37060228663
2015-01-16,,,49578.63617107315,49831.45446842926
2015-01-20,,,49651.36171863426,49860.5446874537
2015-01-21,,,49982.05963604459,49992.82385441784
2015-01-22,,,50608.87295757846,50243.549183031384
2015-01-23,,,50357.99059869285,50143.19623947714
2015-01-26,,,50632.562632837624,50253.025053135054
2015-01-27,,,50238.08963450953,50095.23585380381
2015-01-28,,,49611.177569013176,49844.471027605265
2015-01-29,,,50053.29417253602,50021.3176690144
2015-01-30,,,49318.100612182105,49727.24024487284
2015-02-02,,,49890.97818341589,49956.39127336636
2015-02-03,,,50611.92517951084,50317.02789748716
2015-02-04,,,50389.806683736475,50206.07009490444
2015-02-05,,,50888.23029033266,50455.464600346386
2015-02-06,,,50580.906255202564,50302.18884338695
2015-02-09,,,50366.040108819085,50194.636404753415
2015-02-10,,,50771.69524122649,50397.78971005224
2015-02-11,,,50707.6768096064,50366.00395963721
2015-02-12,,,51296.85713968118,50660.3755628972
2015-02-13,,,51578.964091423775,50801.347490571556
2015-02-17,,,51637.77167880263,50830.81780170597
2015-02-18,,,51732.58891982116,50878.06379210872
2015-02-19,,,51712.410593982386,50867.99108788788
2015-02-20,,,52028.7136296904,51026.101230645974
2015-02-23,,,51933.33310446785,50978.647147672855
2015-02-24,,,52143.9340433164,51083.71654204659
2015-02-25,,,52125.42406346009,51074.46341924823
2015-02-26,,,52070.64578460821,51047.12324824573
2015-02-27,,,51965.21652669414,50994.19109160354
2015-03-02,,,52175.31663770081,51099.54421314386
2015-03-03,,,51930.97656783179,50954.15400502925
2015-03-04,,,51689.610425184525,50810.515650231064
2015-03-05,,,51765.367935040034,50855.62553668084
2015-03-06,,,51081.81805916967,50448.36619519848
2015-03-09,,,51188.406674194535,50512.20555505799
2015-03-10,,,50367.79886982979,50023.689399523624
2015-03-11,,,50409.3561770609,50048.10498317609
2015-03-12,,,50965.67599203559,50379.718329606636
2015-03-13,,,50660.72674506551,50198.171455852294
2015-03-16,,,51240.43371248151,50543.67323762638
2015-03-17,,,51197.96336711055,50518.15983250497
2015-03-18,,,51920.34858077038,50947.79092900088
2015-03-19,,,51581.51188252666,50746.66841679768
2015-03-20,,,52147.81709094741,51083.263495648935
2015-03-23,,,52155.327376374866,51087.273776074064
2015-03-24,,,51990.36052600603,50988.558548054876
2015-03-25,,,51327.998317705686,50593.35613634644
2015-03-26,,,51147.20632448901,50486.06942671708
2015-03-27,,,51270.61076265262,50559.63033120576
2015-03-30,,,51794.56189065182,50872.342439415195
2015-03-31,,,51342.71036357875,50603.26251336626
2015-04-01,,,51424.94720228939,50651.45282109239
2015-04-02,,,51689.78455920413,50808.76005465632
2015-04-06,,,52082.901265132445,51080.47601705343
2015-04-07,,,51961.62030692676,50996.158200296886
2015-04-08,,,52260.766350119586,51202.676233347134
2015-04-09,,,52462.333319148034,51342.088993481964
2015-04-10,,,52627.064673458626,51456.63577941518
2015-04-13,,,52418.27671816255,51312.208935349845
2015-04-14,,,52565.307602798566,51413.359450525866
2015-04-15,,,52815.14015662848,51586.32205457895
2015-04-16,,,52877.913724100894,51629.16460917353
2015-04-17,,,52243.31215663253,51190.19941068915
2015-04-20,,,52511.3549063238,51376.784880705454
2015-04-21,,,52639.2134382398,51464.15830577469
2015-04-22,,,52866.741052177764,51621.609454892656
2015-04-23,,,53045.775307315445,51745.36279851521
2015-04-24,,,53171.341757673945,51831.71144788004
2015-04-27,,,53065.676439550894,51757.33211957346
2015-04-28,,,53186.2835746712,51840.92709942412
2015-04-29,,,52881.22297089485,51630.41819572044
2015-04-30,,,52336.42124118737,51253.28874035102
2015-05-01,,,52762.453575068284,51548.38840909466
2015-05-04,,,52916.958756146174,51655.55012595464
2015-05-05,,,52296.240230959054,51167.78120012712
2015-05-06,,,52155.72727243261,51057.22029537773
2015-05-07,,,52234.62512341216,51120.63419407767
2015-05-08,,,52968.812739226465,51696.55351684316
2015-05-11,,,52676.757165657866,51467.892197457135
2015-05-12,,,52565.09451363465,51379.64163582271
2015-05-13,,,52677.18833757879,51466.69054934848
2015-05-14,,,53189.4986415981,51869.3022454023
2015-05-15,,,53299.2674263455,51955.04946125498
2015-05-18,,,53331.95082613996,51982.66438721816
2015-05-19,,,53286.801656758165,51947.48221467573
2015-05-20,,,53279.27897195892,51941.23483150122
2015-05-21,,,53409.75775916038,52043.772304002676
2015-05-22,,,53290.656335311374,51950.46163839899
2015-05-26,,,52670.07603259618,51463.65009038969
2015-05-27,,,53080.80711792741,51787.197009230134
2015-05-28,,,52948.592901858574,51684.2207016564
2015-05-29,,,52557.86724779826,51377.608517354856
2015-06-01,,,52609.37721432904,51419.036926707835
2015-06-02,,,52642.04603167311,51443.869885201646
2015-06-03,,,52794.762972795615,51578.5923282855
2015-06-04,,,52320.571602915734,51161.8794696435
2015-06-05,,,52148.01505030412,51012.02738429538
2015-06-08,,,51930.799538109975,50819.22099529481
2015-06-09,,,51804.20035262571,50709.014321842515
2015-06-10,,,52505.348949196035,51325.13948429941
2015-06-11,,,52610.55586985459,51418.33004030338
2015-06-12,,,52304.67522922199,51148.56616162392
2015-06-15,,,52031.098966643964,50908.214819287816
2015-06-16,,,52220.64263975593,51076.546816787086
2015-06-17,,,52280.184282443995,51129.54479677295
2015-06-18,,,52757.46580780013,51550.25718897058
2015-06-19,,,52539.68967292057,51358.2578729902
2015-06-22,,,53001.28196596197,51762.43408823554
2015-06-23,,,53122.103234134614,51867.82154116298
2015-06-24,,,52748.67755910301,51538.6934383423
2015-06-25,,,52624.47407334988,51428.74177055163
2015-06-26,,,52545.87518640296,51360.14134008722
2015-06-29,,,51403.32940449988,50355.17374363113
2015-06-30,,,51544.538437627634,50479.673112721255
2015-07-01,,,51828.07933120466,50729.99102162674
2015-07-02,,,51836.66193397202,50736.42751503435
2015-07-06,,,51384.36766048017,50300.26335764192
2015-07-07,,,51482.925563918776,50399.40342443176
2015-07-08,,,50492.600020853686,49434.37284340552
2015-07-09,,,50825.34055997435,49755.31574909452
2015-07-10,,,51676.27295371788,50582.01373455518
2015-07-13,,,52125.9877572855,51023.595052946686
2015-07-14,,,52364.331441710965,51256.18549231617
2015-07-15,,,52215.231957127784,51111.83627303756
2015-07-16,,,52598.694462948,51486.0051478971
2015-07-17,,,52591.02019799578,51478.96114316947
2015-07-20,,,52585.75512444822,51473.771297690386
2015-07-21,,,52411.688868220706,51302.90304416307
2015-07-22,,,52202.787021766984,51101.136985209436
2015-07-23,,,51933.49481560866,50837.48431213885
2015-07-24,,,51399.065329130666,50315.374502030616
2015-07-27,,,51004.61695105978,49930.790206853075
2015-07-28,,,51569.97397173627,50483.53245516804
2015-07-29,,,51878.71906244765,50785.97914386412
2015-07-30,,,51870.07918976553,50778.33531449694
2015-07-31,,,51928.7105700112,50833.678259334534
2015-08-03,,,51696.94205240486,50607.86431928236
2015-08-04,,,51667.54399657631,50578.164517023906
2015-08-05,,,51839.05698272753,50745.557257388355
2015-08-06,,,51484.68616362612,50398.18923349722
2015-08-07,,,51374.287013828856,50289.7087526696
2015-08-10,,,51997.41752148203,50898.62535160591
2015-08-11,,,51420.55553849057,50337.12145351958
2015-08-12,,,51309.80780349966,50231.70608940725
2015-08-13,,,51252.42963248311,50175.38433849106
2015-08-14,,,51409.71888196534,50329.66650688838
2015-08-17,,,51548.62564022326,50468.5388535036
2015-08-18,,,51326.60502261237,50253.27293210309
2015-08-19,,,50882.62404017434,49819.298685003414
2015-08-20,,,49840.606924065294,48800.6175582298
2015-08-21,,,48514.81349637695,47503.689117062335
2015-08-24,,,46711.25598441404,45739.38010090168
2015-08-25,,,46507.96665770177,45534.55114877598
2015-08-26,,,47979.67248605171,46975.58743472083
2015-08-27,,,49025.760974674115,47999.64860580495
2015-08-28,,,48958.65893149997,47935.791274810086
2015-08-31,,,48639.43439793812,47623.318022503205
2015-09-01,,,47223.224650081174,46239.987613201374
2015-09-02,,,48007.60964833192,47007.83757252414
2015-09-03,,,48077.50906259735,47075.95696499
2015-09-04,,,47281.17848443095,46300.09823505119
2015-09-08,,,48470.553117884076,47461.83500702577
2015-09-09,,,47981.72173048203,46981.234936340436
2015-09-10,,,48236.28150291515,47229.68503107368
2015-09-11,,,48391.080162642495,47382.1201994818
2015-09-14,,,48199.33838651807,47195.13822919141
2015-09-15,,,48706.43973842989,47692.2171412544
2015-09-16,,,49216.89100760028,48189.14422134943
2015-09-17,,,49179.61370931781,48152.20111466201
2015-09-18,,,48326.94045336832,47320.814356665396
2015-09-21,,,48462.80131029838,47454.63236268262
2015-09-22,,,47727.506495824324,46738.16359548395
2015-09-23,,,47554.85113103513,46570.71425158555
2015-09-24,,,47405.05736382172,46424.07675931013
2015-09-25,,,47423.74938369549,46440.031169287984
2015-09-28,,,46324.79702649964,45363.61319597407
2015-09-29,,,46333.37587405431,45371.86270966181
2015-09-30,,,47189.32461734768,46207.93067151996
2015-10-01,,,47292.61459856512,46308.69891032408
2015-10-02,,,48006.40730626592,47005.49914973103
2015-10-05,,,48858.500492578234,47838.17505861813
2015-10-06,,,48756.57530324074,47737.55494381834
2015-10-07,,,49269.10219659675,48237.033088551136
2015-10-08,,,49685.39314619578,48643.83674868163
2015-10-09,,,49755.15277244443,48711.88922765836
2015-10-12,,,49716.394377896584,48674.8275249778
2015-10-13,,,49278.67546345217,48248.574287835545
2015-10-14,,,49167.53148800419,48137.603072990176
2015-10-15,,,49934.357574760055,48886.09183214598
2015-10-16,,,50065.748848660325,49015.56054111784
2015-10-19,,,50011.21372154114,48964.18536687937
2015-10-20,,,49928.20340905104,48883.580845858516
2015-10-21,,,49602.12672453778,48563.6853329552
2015-10-22,,,50289.54327627674,49235.910981712004
2015-10-23,,,50752.49489632591,49689.09212937849
2015-10-26,,,50584.197018072744,49525.420404950186
2015-10-27,,,50342.075202485525,49290.31388968242
2015-10-28,,,50774.34217430824,49716.27650157364
2015-10-29,,,50598.908962660396,49546.65942931335
2015-10-30,,,50458.6873470991,49408.705707909
2015-11-02,,,51073.38664251666,50010.1731817147
2015-11-03,,,51213.77165334755,50147.36025020936
2015-11-04,,,51039.80712952969,49978.36162738986
2015-11-05,,,50995.9521529772,49935.34966313723
2015-11-06,,,50901.48028028455,49844.82516875276
2015-11-09,,,50355.307833912106,49311.740417202505
2015-11-10,,,50413.82316833173,49369.8210641325
2015-11-11,,,50327.51505582986,49283.077571504924
2015-11-12,,,49671.75540620382,48640.84343856552
2015-11-13,,,49194.12566812367,48173.31633382534
2015-11-16,,,49871.24717534023,48835.59634154178
2015-11-17,,,49839.13256730463,48803.61312238441
2015-11-18,,,50486.38994573383,49438.468407731205
2015-11-19,,,50532.03436423087,49481.08627860337
2015-11-20,,,50689.50107863438,49636.18926812497
2015-11-23,,,50556.55188140331,49507.785632117964
2015-11-24,,,50666.88792601544,49615.958565102126
2015-11-25,,,50672.692337297136,49622.012532650384
2015-11-27,,,50621.20912933257,49573.611010325236
2015-11-30,,,50473.18862667622,49427.823175548954
2015-12-01,,,50919.024258269426,49863.7375569277
2015-12-02,,,50420.34768619459,49376.02086653478
2015-12-03,,,49869.06106017994,48833.87499756629
2015-12-04,,,50553.45154461817,49506.52962793966
2015-12-07,,,50149.904236896946,49112.36018324039
2015-12-08,,,49746.87048236819,48720.575823217485
2015-12-09,,,49414.61984666208,48394.13177490599
2015-12-10,,,49464.792228294384,48444.725923668535
2015-12-11,,,48533.1869988349,47533.75291312157
2015-12-14,,,48735.584298712514,47731.21831321976
2015-12-15,,,49173.84616560013,48161.05305030417
2015-12-16,,,49912.01621681561,48881.65562977878
2015-12-17,,,49279.28630885651,48261.75925107252
2015-12-18,,,48606.85973805826,47602.02181943617
2015-12-21,,,48949.5105600329,47937.491335105355
2015-12-22,,,49342.236986690106,48321.99184748834
2015-12-23,,,49970.20012338343,48935.14017359244
2015-12-24,,,49890.51907046868,48857.65976260867
2015-12-28,,,49766.86984976825,48737.07568194005
2015-12-29,,,50215.710691752916,49176.77569351888
2015-12-30,,,49847.275072099175,48816.56074795749
2015-12-31,,,49405.459524405545,48384.473372059365
2016-01-04,,,48654.397870044304,47650.80589905919
2016-01-05,,,48723.47984725938,47719.08269496983
2016-01-06,,,48042.78565244932,47054.62720360122
2016-01-07,,,46962.02483689223,45996.89165365738
2016-01-08,,,46461.43855739251,45507.34962354212
2016-01-11,,,46466.918411511084,45511.916317971634
2016-01-12,,,46726.52839328071,45766.5829184704
2016-01-13,,,45757.16334456783,44815.4620504962
2016-01-14,,,46367.99907877403,45413.68602092272
2016-01-15,,,45245.09219707627,44319.487100875165
2016-01-19,,,45346.087833802914,44415.535737331666
2016-01-20,,,44767.08746668504,43852.46344419883
2016-01-21,,,44956.415346810434,44037.061944263995
2016-01-22,,,45965.56261028011,45021.86251363799
2016-01-25,,,45278.90326872533,44349.90315390144
2016-01-26,,,45946.04195784639,45001.826538209025
2016-01-27,,,45523.0302760185,44586.858741217184
2016-01-28,,,45736.75333290648,44795.2274846375
2016-01-29,,,46768.3169852934,45804.97726189464
2016-02-01,,,46713.72667122264,45752.618804464786
2016-02-02,,,45797.11666629233,44857.43718946771
2016-02-03,,,46161.153662840385,45211.74756671245
2016-02-04,,,46279.09428603831,45326.90707166781
2016-02-05,,,45482.1131660697,44545.735835967505
2016-02-08,,,44804.424914504714,43883.38605322874
2016-02-09,,,44620.45947248874,43706.00802854352
2016-02-10,,,44630.925653274106,43716.628447115996
2016-02-11,,,44100.92453949387,43198.56028419109
2016-02-12,,,44856.44414595369,43938.32677477182
2016-02-16,,,45649.34806249231,44713.328488159954
2016-02-17,,,46384.88933807154,45432.19331390977
2016-02-18,,,46202.21322743791,45253.73866070765
2016-02-19,,,46175.09328881052,45227.87093278169
2016-02-22,,,46823.36267864328,45861.79800807037
2016-02-23,,,46212.09043965191,45265.440613626335
2016-02-24,,,46339.55108142911,45392.03363817215
2016-02-25,,,46811.89930991131,45854.62297867672
2016-02-26,,,46719.38018604674,45765.14964651251
2016-02-29,,,46460.450019127165,45510.33985371087
2016-03-01,,,47564.48957342777,46589.06913616288
2016-03-02,,,47865.628016582275,46882.71081203661
2016-03-03,,,48166.79617234744,47175.75465135771
2016-03-04,,,48441.984075944994,47442.8528673329
2016-03-07,,,48489.410495330514,47490.10703307107
2016-03-08,,,47915.58226323751,46928.9060012242
2016-03-09,,,48135.45135427883,47143.97498826694
2016-03-10,,,48107.623084892315,47117.008787584724
2016-03-11,,,48978.808875586874,47966.87087124241
2016-03-14,,,48895.28709239942,47885.70140250212
2016-03-15,,,48614.09859130181,47612.98692854901
2016-03-16,,,49004.18977095909,47992.714610167495
2016-03-17,,,49427.1597863746,48405.22652504194
2016-03-18,,,49583.1028058611,48558.883922927336
2016-03-21,,,49613.807564595474,48589.34007270521
2016-03-22,,,49574.010212752204,48550.86240004981
2016-03-23,,,49134.295138804664,48121.85003088167
2016-03-24,,,49056.1425886718,48046.805261653564
2016-03-28,,,49149.80256849438,48137.120222521036
2016-03-29,,,49663.88252419182,48639.85846291738
2016-03-30,,,49912.49882110958,48881.73315100193
2016-03-31,,,49782.498679060074,48756.2380656976
2016-04-01,,,49890.30795505253,48865.61473131777
2016-04-04,,,49670.890415774644,48651.22080577449
2016-04-05,,,49091.56379174006,48087.04763398
2016-04-06,,,49653.92392460258,48635.95808144328
2016-04-07,,,49033.69510256813,48030.29995797463
2016-04-08,,,49383.61156195918,48368.32434431393
2016-04-11,,,49360.07815335044,48343.474254548615
2016-04-12,,,49889.74606875962,48859.98918924162
2016-04-13,,,50512.03340759337,49467.28210658565
2016-04-14,,,50487.14857902899,49442.94740575641
2016-04-15,,,50416.2388308621,49374.44341631079
2016-04-18,,,50742.724268926846,49693.484503750675
2016-04-19,,,51081.297100067066,50020.59525045455
2016-04-20,,,51088.08546887997,50027.91214176216
2016-04-21,,,50812.24459039276,49758.75337562757
2016-04-22,,,50834.1704729353,49781.04077664376
2016-04-25,,,50672.69934503695,49623.89370950897
2016-04-26,,,50854.93271551049,49801.294688457536
2016-04-27,,,50979.24201724851,49922.808256996046
2016-04-28,,,50503.642123610545,49458.62481367855
2016-04-29,,,50270.37414139457,49229.68451480042
2016-05-02,,,50596.72746850032,49549.383995519915
2016-05-03,,,49969.86377172526,48938.983740337535
2016-05-04,,,49594.18085383784,48573.41060423085
2016-05-05,,,49573.57350498706,48553.32648596967
2016-05-06,,,49724.20474579798,48701.05093389583
2016-05-09,,,49658.881442154656,48639.148650586256
2016-05-10,,,50277.06922421465,49242.68840457795
2016-05-11,,,49891.236815798315,48864.442660871035
2016-05-12,,,49862.80688393947,48836.82354277451
2016-05-13,,,49393.31824676523,48378.73998693867
2016-05-16,,,49885.318802578266,48859.37538162021
2016-05-17,,,49515.45700281943,48496.61317260605
2016-05-18,,,49470.89581147439,48453.697040255225
2016-05-19,,,49225.43339210953,48214.70764661951
2016-05-20,,,49611.05636436277,48591.36500713573
2016-05-23,,,49529.48313032958,48512.09570456285
2016-05-24,,,50132.938369492,49102.65058089458
2016-05-25,,,50520.101227879706,49480.517905935776
2016-05-26,,,50564.50561526158,49522.99642820769
2016-05-27,,,50698.76331316114,49655.916221652056
2016-05-31,,,50659.40933317943,49617.88870145664
2016-06-01,,,50739.7980565997,49697.46198604469
2016-06-02,,,50888.537009015614,49843.30107442331
2016-06-03,,,50944.86817049947,49894.87185316778
2016-06-06,,,51225.15520880593,50168.47420879587
2016-06-07,,,51411.17665718265,50348.658866560196
2016-06-08,,,51599.50742979442,50532.598945385325
2016-06-09,,,51349.201141782156,50290.72515305449
2016-06-10,,,50612.55164132827,49574.896250234924
2016-06-13,,,50138.550889609425,49112.83523734869
2016-06-14,,,49928.1604745679,48909.728203508035
2016-06-15,,,49998.50165707662,48976.248743289245
2016-06-16,,,50087.828203039186,49064.55435510141
2016-06-17,,,50089.646803394746,49063.110057801154
2016-06-20,,,50606.180881011096,49564.37614976849
2016-06-21,,,50789.558775019614,49742.15967488841
2016-06-22,,,50704.8376875863,49658.918578104516
2016-06-23,,,51538.56543622851,50470.910557068
2016-06-24,,,49208.051159678114,48203.16104037101
2016-06-27,,,48335.21132985963,47348.57870440904
2016-06-28,,,49288.474280419374,48278.73814848152
2016-06-29,,,50143.97171801205,49115.16278499345
2016-06-30,,,50760.155978546914,49718.44350374937
2016-07-01,,,50883.10038686672,49838.29538970101
2016-07-05,,,50348.12486156335,49318.48079395
2016-07-06,,,50552.36775669659,49519.90616212713
2016-07-07,,,50476.1238089166,49446.4077455653
2016-07-08,,,51229.080025610485,50182.91716771118
2016-07-11,,,51540.9926584533,50485.75889872093
2016-07-12,,,52033.653624668485,50965.944776361684
2016-07-13,,,51999.440329202844,50932.63283648543
2016-07-14,,,52316.60368189132,51241.436640338005
2016-07-15,,,52211.593808501144,51139.728599306574
2016-07-18,,,52372.20125067812,51296.53903014456
2016-07-19,,,52181.93236885054,51112.23369475479
2016-07-20,,,52462.500813156665,51386.293964386045
2016-07-21,,,52287.58393182677,51214.77280813712
2016-07-22,,,52489.423714420715,51413.01499315222
2016-07-25,,,52342.573687899276,51269.540275189494
2016-07-26,,,52455.96172011565,51379.31328938485
2016-07-27,,,52467.17108070485,51388.88579786698
2016-07-28,,,52507.43152522491,51428.66174261477
2016-07-29,,,52731.79230330542,51645.899619644544
2016-08-01,,,52607.81127622959,51525.7559334275
2016-08-02,,,52271.0580123012,51195.62875887338
2016-08-03,,,52385.26133868343,51308.86013868999
2016-08-04,,,52507.61547804209,51427.266896929876
2016-08-05,,,52883.591336012585,51795.876640543735
2016-08-08,,,52926.64997055427,51836.616710807786
2016-08-09,,,53073.861997447544,51978.579423529416
2016-08-10,,,52995.52150962441,51900.46976666039
2016-08-11,,,53305.14086878924,52202.25746175192
2016-08-12,,,53223.49445933587,52123.00024697275
2016-08-15,,,53450.524986558405,52344.36913989085
2016-08-16,,,53200.29126692975,52098.84325581002
2016-08-17,,,53225.43937811947,52124.08596206187
2016-08-18,,,53428.374043027274,52321.77563035652
2016-08-19,,,53270.02557552428,52168.58680552038
2016-08-22,,,53224.679957327506,52125.06901988976
2016-08-23,,,53337.45246639586,52235.57810703039
2016-08-24,,,53126.110234826716,52027.649226969734
2016-08-25,,,53069.05485105529,51972.3839081398
2016-08-26,,,52885.9788967786,51794.853521081306
2016-08-29,,,53151.92167067748,52055.222355655584
2016-08-30,,,53065.870962627356,51971.175208578956
2016-08-31,,,52883.02606371989,51792.966386260756
2016-09-01,,,53013.99721029007,51918.9745655701
2016-09-02,,,53372.224014285915,52267.49171449529
2016-09-06,,,53658.30897651304,52544.71189243816
2016-09-07,,,53697.72153501552,52583.743441866194
2016-09-08,,,53574.83273438565,52463.41103892419
2016-09-09,,,52322.615539094215,51238.368629376026
2016-09-12,,,52918.248107670646,51822.65166428395
2016-09-13,,,52035.51849468134,50961.21650206242
2016-09-14,,,52050.3331326407,50975.59780721252
2016-09-15,,,52566.60061625486,51480.476998818966
2016-09-16,,,52270.37418549041,51192.773351528034
2016-09-19,,,52428.501515101016,51345.804001889584
2016-09-20,,,52458.842029845146,51374.35992603569
2016-09-21,,,53167.363008875014,52064.72924449119
2016-09-22,,,53546.89974563389,52435.56382307869
2016-09-23,,,53180.08609354567,52078.233127267886
2016-09-26,,,52751.964203558855,51660.03490593221
2016-09-27,,,53050.16897182555,51951.522548359404
2016-09-28,,,53394.4768697085,52287.304845187915
2016-09-29,,,52841.88756009949,51747.924111704124
2016-09-30,,,53219.99713789393,52118.05117353929
2016-10-03,,,53126.7849036427,52025.88651765351
2016-10-04,,,52890.04837263489,51794.42582031737
2016-10-05,,,53155.90957772105,52053.282014952034
2016-10-06,,,53112.62123806223,52012.25725009798
2016-10-07,,,52897.169548808015,51802.107341013725
2016-10-10,,,53161.02375347816,52060.36869577762
2016-10-11,,,52452.987271385355,51368.52880666924
2016-10-12,,,52474.98959831254,51390.79239186804
2016-10-13,,,52294.031636057734,51213.79771286402
2016-10-14,,,52306.30368870796,51225.34234844684
2016-10-17,,,52183.41758363974,51104.8189839001
2016-10-18,,,52579.8593738617,51490.6321635886
2016-10-19,,,52752.70615047008,51659.464158395254
2016-10-20,,,52679.78931701305,51587.66667456101
2016-10-21,,,52646.31465121658,51555.28187950619
2016-10-24,,,52829.44780167841,51735.80273506478
2016-10-25,,,52670.24259993724,51579.067576741436
2016-10-26,,,52480.380701134694,51394.135451555245
2016-10-27,,,52314.44009251998,51231.638475046646
2016-10-28,,,52169.128213515636,51089.09560671481
2016-10-31,,,52223.14219154634,51141.71808100872
2016-11-01,,,51904.30004547354,50828.83420558718
2016-11-02,,,51538.18046447582,50471.220856119384
2016-11-03,,,51373.145362505325,50308.826829280304
2016-11-04,,,51216.42917577192,50157.95191544566
2016-11-07,,,52254.57309673914,51174.25144489656
2016-11-08,,,52451.10224072651,51366.84916994748
2016-11-09,,,52725.14421349496,51640.832508386724
2016-11-10,,,52671.37007342037,51592.11417955685
2016-11-11,,,52513.98520330431,51441.30804426604
2016-11-14,,,52538.693277468585,51467.58155520153
2016-11-15,,,52960.240180087116,51879.60689119624
2016-11-16,,,52779.67286791374,51705.13207209995
2016-11-17,,,53026.703271261984,51946.821433256366
2016-11-18,,,52860.53417348328,51785.80672573348
2016-11-21,,,53258.430013149504,52174.68399291698
2016-11-22,,,53444.03308245375,52355.671103143184
2016-11-23,,,53411.2788528866,52325.53796250616
2016-11-25,,,53594.17409372856,52504.82123143963
2016-11-28,,,53374.9526260666,52289.05178214309
2016-11-29,,,53483.38484616753,52394.28930392485
2016-11-30,,,53393.04677518936,52305.39128183862
2016-12-01,,,53167.99999380079,52085.398845153926
2016-12-02,,,53189.929813840216,52106.308465327194
2016-12-05,,,53546.753830342794,52455.265672190675
2016-12-06,,,53818.30021614827,52720.62435022901
2016-12-07,,,54467.60611273243,53355.54263955393
2016-12-08,,,54629.79807141718,53514.789410565514
2016-12-09,,,54834.74125259316,53716.59970500576
2016-12-12,,,54667.02440580666,53553.05580223036
2016-12-13,,,55038.09542674784,53914.747163716995
2016-12-14,,,54395.90928307334,53289.56637720216
2016-12-15,,,54550.402111844305,53442.00641719666
2016-12-16,,,54467.07399761271,53360.38095326587
2016-12-19,,,54530.58021560766,53424.04781499459
2016-12-20,,,54716.514590903425,53606.631034660575
2016-12-21,,,54598.73680548536,53490.77695789347
2016-12-22,,,54431.58355695773,53327.72568049392
2016-12-23,,,54533.366118167,53426.93937153602
2016-12-27,,,54633.8364058581,53525.97207962235
2016-12-28,,,54338.47506300096,53234.457823323064
