phase,phase_name,ticker,role,target_weight,phase_total_amount,planned_buy_amount,currency,account,status
0,initial_40pct,VTI,美国全市场核心,0.64,20000.0,12800.0,USD,USD账户,planned
0,initial_40pct,VEA,发达市场,0.2,20000.0,4000.0,USD,USD账户,planned
0,initial_40pct,VWO,新兴市场,0.1,20000.0,2000.0,USD,USD账户,planned
0,initial_40pct,SGOV,美元现金短债,0.06,20000.0,1200.0,USD,USD账户,planned
1,monthly_dca_1,VTI,美国全市场核心,0.64,5000.0,3200.0,USD,USD账户,planned
1,monthly_dca_1,VEA,发达市场,0.2,5000.0,1000.0,USD,USD账户,planned
1,monthly_dca_1,VWO,新兴市场,0.1,5000.0,500.0,USD,USD账户,planned
1,monthly_dca_1,SGOV,美元现金短债,0.06,5000.0,300.0,USD,USD账户,planned
2,monthly_dca_2,VTI,美国全市场核心,0.64,5000.0,3200.0,USD,USD账户,planned
2,monthly_dca_2,VEA,发达市场,0.2,5000.0,1000.0,USD,USD账户,planned
2,monthly_dca_2,VWO,新兴市场,0.1,5000.0,500.0,USD,USD账户,planned
2,monthly_dca_2,SGOV,美元现金短债,0.06,5000.0,300.0,USD,USD账户,planned
3,monthly_dca_3,VTI,美国全市场核心,0.64,5000.0,3200.0,USD,USD账户,planned
3,monthly_dca_3,VEA,发达市场,0.2,5000.0,1000.0,USD,USD账户,planned
3,monthly_dca_3,VWO,新兴市场,0.1,5000.0,500.0,USD,USD账户,planned
3,monthly_dca_3,SGOV,美元现金短债,0.06,5000.0,300.0,USD,USD账户,planned
4,monthly_dca_4,VTI,美国全市场核心,0.64,5000.0,3200.0,USD,USD账户,planned
4,monthly_dca_4,VEA,发达市场,0.2,5000.0,1000.0,USD,USD账户,planned
4,monthly_dca_4,VWO,新兴市场,0.1,5000.0,500.0,USD,USD账户,planned
4,monthly_dca_4,SGOV,美元现金短债,0.06,5000.0,300.0,USD,USD账户,planned
5,monthly_dca_5,VTI,美国全市场核心,0.64,5000.0,3200.0,USD,USD账户,planned
5,monthly_dca_5,VEA,发达市场,0.2,5000.0,1000.0,USD,USD账户,planned
5,monthly_dca_5,VWO,新兴市场,0.1,5000.0,500.0,USD,USD账户,planned
5,monthly_dca_5,SGOV,美元现金短债,0.06,5000.0,300.0,USD,USD账户,planned
6,monthly_dca_6,VTI,美国全市场核心,0.64,5000.0,3200.0,USD,USD账户,planned
6,monthly_dca_6,VEA,发达市场,0.2,5000.0,1000.0,USD,USD账户,planned
6,monthly_dca_6,VWO,新兴市场,0.1,5000.0,500.0,USD,USD账户,planned
6,monthly_dca_6,SGOV,美元现金短债,0.06,5000.0,300.0,USD,USD账户,planned
