Date,Core_REAL_SGOV_2020,Core_PROXY_BIL_2015,SPY_BuyHold_2015,VTI_BuyHold_2015
2015-01-02,,50000.0,50000.00000000001,50000.0
2015-01-05,,49148.30467107675,49097.0159501336,49140.84698663105
2015-01-06,,48706.688651861456,48634.5793027031,48659.343553998006
2015-01-07,,49294.26021765943,49240.630205758906,49239.97902419775
2015-01-08,,50083.42260787152,50114.39720355815,50108.57132233215
2015-01-09,,49744.51876744722,49712.80288082376,49693.15591474358
2015-01-12,,49461.81716447604,49323.366260031675,49339.11540565988
2015-01-13,,49472.46998494961,49184.644683424835,49225.839644579
2015-01-14,,49254.75147156041,48887.702567450135,48956.735322802684
2015-01-15,,49008.426505716576,48439.87220376219,48461.09685444631
2015-01-16,,49578.63617107315,49075.1177359749,49103.081159778376
2015-01-20,,49651.36171863426,49179.77442731663,49173.886655257855
2015-01-21,,49982.05963604459,49428.03192053751,49395.75980204347
2015-01-22,,50608.87295757846,50163.07734172991,50146.3328052894
2015-01-23,,50357.99059869285,49888.04240907802,49919.75087585963
2015-01-26,,50632.562632837624,50004.87474069026,50127.45857965392
2015-01-27,,50238.08963450953,49345.28241251859,49542.10129512373
2015-01-28,,49611.177569013176,48712.46752377793,48871.78175991359
2015-01-29,,50053.29417253602,49162.73750010203,49339.11540565988
2015-01-30,,49318.100612182105,48544.53337968598,48668.78718265889
2015-02-02,,49890.97818341589,49145.687119141265,49216.40470370897
2015-02-03,,50611.92517951084,49856.40816728496,49971.66477012192
2015-02-04,,50389.806683736475,49666.55787070609,49797.00542274529
2015-02-05,,50888.23029033266,50167.947597838116,50344.59253652738
2015-02-06,,50580.906255202564,50029.21256748512,50193.52922911668
2015-02-09,,50366.040108819085,49805.29290105909,49943.329540243845
2015-02-10,,50771.69524122649,50335.89071109417,50453.15517106868
2015-02-11,,50707.6768096064,50365.09879399723,50476.764242720885
2015-02-12,,51296.85713968118,50849.44262475054,50962.97645799809
2015-02-13,,51578.964091423775,51058.76497659811,51203.723830419185
2015-02-17,,51637.77167880263,51139.08832572704,51283.97295455955
2015-02-18,,51732.58891982116,51143.95858183524,51312.29515275134
2015-02-19,,51712.410593982386,51107.43166102372,51298.14708534173
2015-02-20,,52028.7136296904,51414.10532005072,51586.09522548553
2015-02-23,,51933.33310446785,51406.82235879868,51581.3603794688
2015-02-24,,52143.9340433164,51552.86277331398,51699.38836214813
2015-02-25,,52125.42406346009,51509.030468340155,51680.51413651263
2015-02-26,,52070.64578460821,51448.179174479934,51647.46578009498
2015-02-27,,51965.21652669414,51272.957584553886,51463.354116266615
2015-03-02,,52175.31663770081,51596.66368621344,51779.63314239306
2015-03-03,,51930.97656783179,51384.91069089382,51567.225343745464
2015-03-04,,51689.610425184525,51168.27847030189,51359.50460826489
2015-03-05,,51765.367935040034,51224.26399263596,51439.77545188241
2015-03-06,,51081.81805916967,50503.82037060407,50726.95524380286
2015-03-09,,51188.406674194535,50713.13375328754,50915.78003417081
2015-03-10,,50367.79886982979,49890.48202171417,50141.58927148182
2015-03-11,,50409.3561770609,49773.64969010193,50103.840820210855
