,REAL_LumpSum,REAL_Fixed_DCA,REAL_Smart_DCA,PROXY_LumpSum,PROXY_Fixed_DCA,PROXY_Smart_DCA
2015-01-02,,,,0.0,0.0,0.0
2015-01-05,,,,-0.01703390657846493,-0.006813562631385883,-0.006813562631385883
2015-01-06,,,,-0.025866226962770855,-0.010346490785108298,-0.010346490785108298
2015-01-07,,,,-0.014114795646811396,-0.005645918258724514,-0.005645918258724514
2015-01-08,,,,0.0,0.0,0.0
2015-01-09,,,,-0.006766786748536591,-0.002709422506663728,-0.002709422506663728
2015-01-12,,,,-0.012411401039069347,-0.004969526979959338,-0.004969526979959338
2015-01-13,,,,-0.012198699511919764,-0.004884361254146485,-0.004884361254146485
2015-01-14,,,,-0.016545816822448378,-0.006624947727157604,-0.006624947727157604
2015-01-15,,,,-0.02146411020212491,-0.008594233190476364,-0.008594233190476364
2015-01-16,,,,-0.010078912552574537,-0.004035598213368741,-0.004035598213368741
2015-01-20,,,,-0.008626824341061656,-0.003454181859028238,-0.003454181859028238
2015-01-21,,,,-0.0020238826851062264,-0.000810362953887922,-0.000810362953887922
2015-01-22,,,,0.0,0.0,0.0
2015-01-23,,,,-0.00495728010176999,-0.0019973299097296726,-0.0019973299097296726
2015-01-26,,,,0.0,0.0,0.0
2015-01-27,,,,-0.007790895380678564,-0.0031398945469333084,-0.0031398945469333084
2015-01-28,,,,-0.020172493958700577,-0.00812993894592029,-0.00812993894592029
2015-01-29,,,,-0.011440630894038906,-0.004610814649976924,-0.004610814649976924
2015-01-30,,,,-0.025960803726000403,-0.010462749410732552,-0.010462749410732552
2015-02-02,,,,-0.01464639376046073,-0.005902804447195931,-0.005902804447195931
2015-02-03,,,,-0.0004075925107017708,0.0,0.0
2015-02-04,,,,-0.004794463019015982,-0.002205174018004019,-0.002205174018004019
2015-02-05,,,,0.0,0.0,0.0
2015-02-06,,,,-0.00603919675289788,-0.0030378425443807755,-0.0030378425443807755
2015-02-09,,,,-0.010261511916101806,-0.0051694736667072805,-0.0051694736667072805
2015-02-10,,,,-0.0022900196851277643,-0.0011430851098287453,-0.0011430851098287453
2015-02-11,,,,-0.003548040081098436,-0.0017730614794212451,-0.0017730614794212451
2015-02-12,,,,0.0,0.0,0.0
2015-02-13,,,,0.0,0.0,0.0
2015-02-17,,,,0.0,0.0,0.0
2015-02-18,,,,0.0,0.0,0.0
2015-02-19,,,,-0.00039005057083163486,-0.0001979773495704995,-0.0001979773495704995
2015-02-20,,,,0.0,0.0,0.0
2015-02-23,,,,-0.0018332285879949506,-0.00092999625345902,-0.00092999625345902
2015-02-24,,,,0.0,0.0,0.0
2015-02-25,,,,-0.00035497858372057767,-0.00018113644473660706,-0.00018113644473660706
2015-02-26,,,,-0.001405499221583617,-0.000716339692526935,-0.000716339692526935
2015-02-27,,,,-0.003427388437431733,-0.0017525242191288593,-0.0017525242191288593
2015-03-02,,,,0.0,0.0,0.0
2015-03-03,,,,-0.004683058687802277,-0.002845234930240581,-0.002845234930240581
2015-03-04,,,,-0.009309118637247038,-0.005656186710926714,-0.005656186710926714
2015-03-05,,,,-0.007857138759835625,-0.0047734021940704086,-0.0047734021940704086
2015-03-06,,,,-0.020958158934123228,-0.012743323408702323,-0.012743323408702323
2015-03-09,,,,-0.0189152654378556,-0.01149400972415715,-0.01149400972415715
2015-03-10,,,,-0.03464315857289768,-0.021054098039166136,-0.021054098039166136
2015-03-11,,,,-0.033846664945083704,-0.020576293705909743,-0.020576293705909743
2015-03-12,,,,-0.023184155336609003,-0.014086737849064224,-0.014086737849064224
2015-03-13,,,,-0.029028858668025515,-0.017639545932773948,-0.017639545932773948
2015-03-16,,,,-0.017918107363123825,-0.010878198310318776,-0.010878198310318776
2015-03-17,,,,-0.018732100417844788,-0.011377486621286681,-0.011377486621286681
2015-03-18,,,,-0.0048867562932276565,-0.002969758076705964,-0.002969758076705964
2015-03-19,,,,-0.011380951634610281,-0.006905654478526979,-0.006905654478526979
2015-03-20,,,,-0.0005270604670088996,-0.0003186078808652404,-0.0003186078808652404
2015-03-23,,,,-0.00038311720204298183,-0.00024012811187934524,-0.00024012811187934524
2015-03-24,,,,-0.0035448967752145233,-0.002171950196386274,-0.002171950196386274
2015-03-25,,,,-0.016239830912360365,-0.009905921561375042,-0.009905921561375042
2015-03-26,,,,-0.019704917563814206,-0.012005484508196163,-0.012005484508196163
2015-03-27,,,,-0.0173397294611618,-0.010565923634974994,-0.010565923634974994
2015-03-30,,,,-0.007297602996698682,-0.00444625832240253,-0.00444625832240253
2015-03-31,,,,-0.015957857618834947,-0.009712057268212337,-0.009712057268212337
2015-04-01,,,,-0.014381693945853646,-0.00876898999690523,-0.00876898999690523
2015-04-02,,,,-0.00930578115832359,-0.005690543095152378,-0.005690543095152378
2015-04-06,,,,-0.001771246990412867,-0.0003731578507021327,-0.0003731578507021327
2015-04-07,,,,-0.004095736155430241,-0.0020232276909503133,-0.0020232276909503133
2015-04-08,,,,0.0,0.0,0.0
2015-04-09,,,,0.0,0.0,0.0
2015-04-10,,,,0.0,0.0,0.0
2015-04-13,,,,-0.003967311431704701,-0.002806768104398838,-0.002806768104398838
2015-04-14,,,,-0.0011734849937622416,-0.0008410252289875464,-0.0008410252289875464
2015-04-15,,,,0.0,0.0,0.0
2015-04-16,,,,0.0,0.0,0.0
2015-04-17,,,,-0.012001259557619881,-0.008502271958248708,-0.008502271958248708
2015-04-20,,,,-0.00693217246977007,-0.004888317104848827,-0.004888317104848827
2015-04-21,,,,-0.004514177452358492,-0.003195990185933084,-0.003195990185933084
2015-04-22,,,,-0.0002112918444820977,-0.00014633500925431697,-0.00014633500925431697
2015-04-23,,,,0.0,0.0,0.0
2015-04-24,,,,0.0,0.0,0.0
2015-04-27,,,,-0.0019872607052989766,-0.001435015866326883,-0.001435015866326883
2015-04-28,,,,0.0,0.0,0.0
2015-04-29,,,,-0.005735700697117818,-0.0040606701207320794,-0.0040606701207320794
2015-04-30,,,,-0.015978975712613308,-0.011335413773486236,-0.011335413773486236
2015-05-01,,,,-0.007968783887820963,-0.005643006533590955,-0.005643006533590955
2015-05-04,,,,-0.005063802176493604,-0.0035758807537131787,-0.0035758807537131787
2015-05-05,,,,-0.016734452642523268,-0.012984835282864315,-0.012984835282864315
2015-05-06,,,,-0.019376354822606356,-0.015117530644144228,-0.015117530644144228
2015-05-07,,,,-0.017892930043193478,-0.013894290585602875,-0.013894290585602875
2015-05-08,,,,-0.004088851877372068,-0.0027849344265019615,-0.0027849344265019615
2015-05-11,,,,-0.009580034075853061,-0.007195760624642333,-0.007195760624642333
2015-05-12,,,,-0.01167949740583829,-0.008898094409398372,-0.008898094409398372
2015-05-13,,,,-0.009571927250334511,-0.007218940150470421,-0.007218940150470421
2015-05-14,,,,0.0,0.0,0.0
2015-05-15,,,,0.0,0.0,0.0
2015-05-18,,,,0.0,0.0,0.0
2015-05-19,,,,-0.0008465688706752461,-0.0006768058728263693,-0.0006768058728263693
2015-05-20,,,,-0.0009876228670642195,-0.0007969879229031696,-0.0007969879229031696
2015-05-21,,,,0.0,0.0,0.0
2015-05-22,,,,-0.0022299562635363923,-0.0017929266360368068,-0.0017929266360368068
2015-05-26,,,,-0.013849187069891356,-0.011146813306005643,-0.011146813306005643
2015-05-27,,,,-0.006158998936417137,-0.0049299903410884305,-0.0049299903410884305
2015-05-28,,,,-0.008634468244198445,-0.0069086383716774336,-0.0069086383716774336
2015-05-29,,,,-0.015950091277394107,-0.012800067273305293,-0.012800067273305293
2015-06-01,,,,-0.014985661392445837,-0.012004037171740367,-0.012004037171740367
2015-06-02,,,,-0.014373997555822915,-0.011526881935014721,-0.011526881935014721
2015-06-03,,,,-0.011514652231488176,-0.008938244772110804,-0.008938244772110804
2015-06-04,,,,-0.020393018091489745,-0.016945213525410563,-0.016945213525410563
2015-06-05,,,,-0.0236238238440587,-0.01982456063485505,-0.01982456063485505
