trade_date,amount,type,vti_drawdown_252d,remaining_tranches_after_trade,cash_after_trade,test_start_date
2021-09-01,20000.0,initial_40pct,,6,30000.0,2021-09-01
2021-10-01,5000.0,regular_monthly_dca,-0.0364353062323286,5,25000.0,2021-09-01
2021-11-01,5000.0,regular_monthly_dca,0.0,4,20000.0,2021-09-01
2021-12-01,5000.0,regular_monthly_dca,-0.05202013470803424,3,15000.0,2021-09-01
2022-01-03,5000.0,regular_monthly_dca,0.0,2,10000.0,2021-09-01
2022-01-26,5000.0,refined_1_tranche_dd_10pct,-0.1012473306584819,1,5000.0,2021-09-01
2022-02-01,5000.0,regular_monthly_dca,-0.05939026758766386,0,0.0,2021-09-01
2021-11-01,20000.0,initial_40pct,,6,30000.0,2021-11-01
2021-12-01,5000.0,regular_monthly_dca,-0.05202013470803424,5,25000.0,2021-11-01
2022-01-03,5000.0,regular_monthly_dca,0.0,4,20000.0,2021-11-01
2022-01-26,5000.0,refined_1_tranche_dd_10pct,-0.1012473306584819,3,15000.0,2021-11-01
2022-02-01,5000.0,regular_monthly_dca,-0.05939026758766386,2,10000.0,2021-11-01
2022-03-01,5000.0,regular_monthly_dca,-0.10392222652855931,1,5000.0,2021-11-01
2022-04-01,5000.0,regular_monthly_dca,-0.056291706428376886,0,0.0,2021-11-01
2022-01-03,20000.0,initial_40pct,,6,30000.0,2022-01-03
2022-02-03,5000.0,regular_monthly_dca,-0.0756885711851426,5,25000.0,2022-01-03
2022-02-22,5000.0,refined_1_tranche_dd_10pct,-0.1075030989281135,4,20000.0,2022-01-03
2022-03-03,5000.0,regular_monthly_dca,-0.09387995807648475,3,15000.0,2022-01-03
2022-04-04,5000.0,regular_monthly_dca,-0.04828229745613344,2,10000.0,2022-01-03
2022-05-03,5000.0,regular_monthly_dca,-0.13535385425660507,1,5000.0,2022-01-03
2022-05-09,5000.0,refined_2_tranches_dd_15pct,-0.1798597260907162,0,0.0,2022-01-03
2022-03-01,20000.0,initial_40pct,,6,30000.0,2022-03-01
2022-04-01,5000.0,regular_monthly_dca,-0.019180457130391404,5,25000.0,2022-03-01
2022-04-26,5000.0,refined_1_tranche_dd_10pct,-0.1021240558216735,4,20000.0,2022-03-01
2022-05-02,5000.0,regular_monthly_dca,-0.10559957928421315,3,15000.0,2022-03-01
2022-05-11,10000.0,refined_2_tranches_dd_15pct,-0.16133887362695487,1,5000.0,2022-03-01
2022-06-01,5000.0,regular_monthly_dca,-0.12036041263598019,0,0.0,2022-03-01
2022-06-01,20000.0,initial_40pct,,6,30000.0,2022-06-01
2022-07-01,5000.0,regular_monthly_dca,-0.08513294901290636,5,25000.0,2022-06-01
2022-08-01,5000.0,regular_monthly_dca,-0.012369612007360864,4,20000.0,2022-06-01
2022-09-01,5000.0,regular_monthly_dca,-0.08120610482580526,3,15000.0,2022-06-01
2022-09-20,5000.0,refined_1_tranche_dd_10pct,-0.10409737792198115,2,10000.0,2022-06-01
2022-10-03,5000.0,regular_monthly_dca,-0.14534180520321638,1,5000.0,2022-06-01
2022-10-07,5000.0,refined_2_tranches_dd_15pct,-0.15291176300042997,0,0.0,2022-06-01
